Artist,Artist_Id,Track_Title,Track_Id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,eng_line_ratio,eng_word_ratio,avg_rank,months_on_chart,company,gender
SS501,6rmMpoeu2SIV4OLURCOn2e,Love Like This,6ikuCPBHanUnebgfeGJ0id,0.581,0.838,11,-4.051,0,0.0783,0.0268,0,0.209,0.771,155.891,168653,4,0.361702128,0.443579767,29.33333333,3,DSP Media,Male
SS501,6rmMpoeu2SIV4OLURCOn2e,U R Man,4EKS4BdlS8yL7iMbE8G35Z,0.81,0.905,11,-7.415,0,0.0342,0.058,3.17E-06,0.149,0.908,117.011,203678,4,0.361445783,0.257839721,25.6,5,DSP Media,Male
SS501,6rmMpoeu2SIV4OLURCOn2e,Dejavu,4Q4JDOphODwPg9QcFqiPyN,0.682,0.737,1,-3.723,1,0.049,0.0406,0,0.0688,0.63,116.988,212253,4,0.125,0.163461538,50,1,DSP Media,Male
SS501,6rmMpoeu2SIV4OLURCOn2e,Snow Prince,1RDa57Qh5kWFYUHkQuwSJa,0.73,0.922,7,-1.831,1,0.0702,0.284,0,0.467,0.811,126.981,204973,4,0.4375,0.460093897,50,2,DSP Media,Male
SS501,6rmMpoeu2SIV4OLURCOn2e,Fighter,75UvUQ41sU974zrlKfsKmg,0.6,0.953,10,-1.735,0,0.0981,0.097,0,0.0694,0.324,117.035,213693,4,0.282051282,0.357142857,50,2,DSP Media,Male
SS501,6rmMpoeu2SIV4OLURCOn2e,Warning,6U1mhkkJ8xSLK8NtZaURop,0.765,0.639,4,-8.641,0,0.102,0.0316,0,0.0844,0.791,115.038,188362,4,0,0,39,3,DSP Media,Male
SS501,6rmMpoeu2SIV4OLURCOn2e,Never Again,6aj3Qh9nJS2ali3Ba6Tb04,0.674,0.503,5,-7.197,0,0.0273,0.175,0,0.126,0.351,136.024,285716,4,0.23255814,0.292682927,50,3,DSP Media,Male
Super Junior,6gzXCdfYfFe5XKhPKkYqxV,Bite the lips,26dBQr6YNT7O1jtnq8HWyE,0.629,0.941,0,-1.952,1,0.0507,0.253,0,0.238,0.537,132.006,215599,4,0,0,50,1,SM,Male
Super Junior,6gzXCdfYfFe5XKhPKkYqxV,?àÎùºÍ≥?It's You,2TG8kKgwsyyZU8lZIH6SZ1,0.752,0.934,7,-3.541,0,0.0361,0.092,8.80E-06,0.14,0.668,119.996,231493,4,0.2,0.155629139,22,4,SM,Male
Super Junior,6gzXCdfYfFe5XKhPKkYqxV,U,7HKkudjI7pofH9oDqt3Y1T,0.791,0.871,6,-3.769,0,0.132,0.169,0,0.0923,0.805,115.025,226747,4,0.3125,0.357142857,18.75,4,SM,Male
Super Junior,6gzXCdfYfFe5XKhPKkYqxV,U,7HKkudjI7pofH9oDqt3Y1T,0.791,0.871,6,-3.769,0,0.132,0.169,0,0.0923,0.805,115.025,226747,4,0.608247423,0.683417085,21.5,6,SM,Male
Super Junior,6gzXCdfYfFe5XKhPKkYqxV,U,7HKkudjI7pofH9oDqt3Y1T,0.791,0.871,6,-3.769,0,0.132,0.169,0,0.0923,0.805,115.025,226747,4,0.3125,0.434504792,50,1,SM,Male
Super Junior,6gzXCdfYfFe5XKhPKkYqxV,Show Me Your Love,2z3hIN6cGgKHA7ihZ8B80Y,0.688,0.903,11,-1.616,0,0.0756,0.123,0,0.304,0.668,117.033,245227,4,0,0,13.33333333,3,SM,Male
Super Junior,6gzXCdfYfFe5XKhPKkYqxV,Show Me Your Love,2z3hIN6cGgKHA7ihZ8B80Y,0.688,0.903,11,-1.616,0,0.0756,0.123,0,0.304,0.668,117.033,245227,4,0.242857143,0.230978261,40.33333333,3,SM,Male
KARA,7aZ221EQfonNG2lO9Hh192,CUPID,07hKkdYLE3brEV4WelMT7z,0.768,0.845,6,-2.567,0,0.0644,0.00532,2.43E-06,0.0916,0.861,122.003,205793,4,0.253164557,0.274074074,50,1,DSP Media,Female
KARA,7aZ221EQfonNG2lO9Hh192,Story,3UJjxZWuMMtAL9ymz44UAM,0.547,0.772,11,-4.132,1,0.247,0.35,1.03E-05,0.0808,0.618,173.795,243357,4,0,0,39,1,DSP Media,Female
KARA,7aZ221EQfonNG2lO9Hh192,Pandora,4ZtxMLkrwisNoHKVKmO4gA,0.567,0.973,4,-2.492,0,0.101,0.0202,1.63E-05,0.295,0.701,140.058,193107,4,0.357142857,0.450643777,34.25,4,DSP Media,Female
KARA,7aZ221EQfonNG2lO9Hh192,Jumping,50TJXtdJhN2x6zxcp4pKZN,0.585,0.99,5,-1.781,0,0.164,0.00278,0.00178,0.2,0.776,125.974,179053,4,0.290322581,0.393782383,24.25,4,DSP Media,Female
KARA,7aZ221EQfonNG2lO9Hh192,Lupin,3RmwOvD5VBSsqSES1GsFX6,0.693,0.927,0,-2.792,1,0.0661,0.00293,0.00668,0.118,0.543,135.934,192440,4,0.666666667,0.671641791,23.4,5,DSP Media,Female
KARA,7aZ221EQfonNG2lO9Hh192,Honey,7K0qoyK48Um3llVR4TH0rI,0.646,0.99,6,-1.72,1,0.0726,0.0766,5.08E-05,0.175,0.739,139.973,195000,4,0.35483871,0.371559633,28.4,5,DSP Media,Female
KARA,7aZ221EQfonNG2lO9Hh192,Pretty Girl,28GE60KLxobidYzuUHW6iI,0.735,0.93,5,-2.816,1,0.0743,0.00945,0,0.0849,0.661,133.957,209920,4,0.622641509,0.641255605,25,6,DSP Media,Female
SHINee,2hRQKC0gqlZGPrmUKbcchR,Ring Ding Dong,4vLqN0bIxIQjlet2mIMBnx,0.835,0.934,1,-1.258,1,0.0431,0.125,0.000501,0.222,0.811,124.98,233280,4,0.550847458,0.585858586,32,5,SM,Male
SHINee,2hRQKC0gqlZGPrmUKbcchR,JoJo,4eIio2I0jXuzvQaoYQZWPT,0.761,0.924,2,-3.781,0,0.0331,0.0578,0,0.0541,0.78,126.01,219053,4,0.58,0.556363636,40.33333333,3,SM,Male
SHINee,2hRQKC0gqlZGPrmUKbcchR,Juliette,6RgCQuMSvdZJW2Irj44QHK,0.68,0.888,7,-3.256,1,0.0558,0.07,0,0.227,0.752,109.038,207267,4,0.388888889,0.270916335,30.6,5,SM,Male
INFINITE,1bkpTEmumLC3xc7HgMsttU,The Eye,78f6Qp6XQhSnJksCseLMMb,0.655,0.78,2,-3.167,0,0.124,0.0291,0,0.14,0.344,117.999,240280,4,0,0,50,3,Woollim,Male
INFINITE,1bkpTEmumLC3xc7HgMsttU,The Eye,78f6Qp6XQhSnJksCseLMMb,0.655,0.78,2,-3.167,0,0.124,0.0291,0,0.14,0.344,117.999,240280,4,0,0,46.66666667,3,Woollim,Male
INFINITE,1bkpTEmumLC3xc7HgMsttU,Bad,2N8gVC6b45879mbNo9IMZr,0.689,0.858,0,-3.051,1,0.116,0.24,0,0.134,0.458,99.994,216244,4,0.5,0.606951872,47,2,Woollim,Male
INFINITE,1bkpTEmumLC3xc7HgMsttU,Destiny,7tYs4B4jm8E8UmvDG9iMVc,0.585,0.946,7,-2.062,1,0.102,0.0905,0,0.311,0.423,128.098,232718,4,0.1,0.146153846,35,3,Woollim,Male
INFINITE,1bkpTEmumLC3xc7HgMsttU,Man In Love,4CLZtVqnJTaTMiPEiwpO0E,0.605,0.95,6,-2.935,0,0.0784,0.0433,0,0.37,0.863,121.986,197213,4,0.027027027,0.037656904,42.33333333,3,Woollim,Male
