Artist,song_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,avg_rank,months_on_chart,eng_line_ratio,eng_word_ratio,company,gender
Hyolyn,Love Like This (Feat. Dok2),0.694,0.853,8,-3.445,1,0.175,0.182,0,0.108,0.76,99.039,211400,4,50,1,0.092105263,0.173780488,Starship,Female
Hyolyn,그리워,0.432,0.449,6,-5.383,1,0.0359,0.707,0,0.267,0.416,131.738,261684,4,48,1,0,0,Starship,Female
Hyolyn,보고싶어,0.588,0.538,6,-2.865,1,0.0258,0.702,0,0.13,0.379,105.836,229128,4,50,1,0,0.012738854,Starship,Female
Hyolyn,Love Line,0.593,0.796,7,-3.001,0,0.0525,0.186,0,0.271,0.6,103.452,201528,4,50,2,0.393442623,0.427509294,Starship,Female
Hyolyn,Coach Me (Feat. 주헌),0.695,0.872,5,-3.411,1,0.285,0.172,0,0.223,0.785,149.882,220954,4,34,1,0.339805825,0.369230769,Starship,Female
Hyolyn,지워 (Feat. 아이언),0.634,0.593,3,-4.522,0,0.0406,0.0936,0,0.0823,0.642,94.091,228080,4,35.2,5,0.26984127,0.199134199,Starship,Female
Hyolyn,널 사랑하겠어,0.685,0.574,5,-6.867,1,0.0286,0.262,0,0.253,0.3,99.997,210469,4,27.75,4,0,0,Starship,Female
Hyolyn,내겐 너니까,0.481,0.711,8,-4.823,1,0.045,0.58,0,0.0959,0.216,135.874,234440,4,50,2,0.071428571,0.081632653,Starship,Female
EXID,알러뷰,0.695,0.832,9,-3.455,0,0.0288,0.000371,0.000483,0.469,0.249,111.997,194699,4,50,1,0.77,0.769574944,LOEN,Female
EXID,내일해,0.705,0.952,1,-2.896,0,0.0489,0.0337,0,0.382,0.633,107.001,190502,4,50,1,0.378787879,0.482035928,LOEN,Female
EXID,덜덜덜,0.718,0.794,11,-2.877,0,0.0703,0.0806,0,0.0679,0.751,114.285,205821,4,42,5,0.263157895,0.195744681,LOEN,Female
EXID,낮보다는 밤,0.756,0.845,1,-3.095,1,0.139,0.111,0,0.311,0.711,110.027,198414,4,50,2,0.169811321,0.188976378,LOEN,Female
EXID,Hot Pink,0.769,0.962,1,-1.812,1,0.0691,0.357,2.32E-06,0.375,0.708,107.008,200729,4,30,5,0.394366197,0.419672131,LOEN,Female
EXID,매일밤,0.562,0.812,1,-2.942,0,0.181,0.367,0,0.13,0.829,203.639,231105,4,50,1,0.259259259,0.229090909,LOEN,Female
EXID,WHOZ THAT GIRL,0.739,0.874,1,-2.333,1,0.101,0.0117,0,0.0319,0.787,127.894,210077,4,46,2,0.388059701,0.446735395,LOEN,Female
Weki Meki,거짓말처럼 기적처럼,0.683,0.722,7,-4.338,0,0.033,0.4,0,0.337,0.433,124.957,217933,4,50,2,0,0,Fantagio,Female
G-Dragon,Intro,0.742,0.896,0,-3.22,1,0.136,0.143,0,0.139,0.695,140.012,222722,4,50,1,0.517241379,0.524822695,YG,Male
G-Dragon,Middle Fingers-Up,0.742,0.896,0,-3.22,1,0.136,0.143,0,0.139,0.695,140.012,222722,4,50,1,0,0,YG,Male
G-Dragon,BULLSHIT,0.756,0.821,0,-5.494,1,0.0891,0.0533,0,0.354,0.574,96.008,182079,4,32.5,2,0,0,YG,Male
G-Dragon,천하무적 (Feat. 박장근 Of Supersta),0.743,0.718,7,-4.529,1,0.049,0.0294,2.01E-06,0.045,0.364,129.959,225944,4,22,5,0.102941176,0.124031008,YG,Male
G-Dragon,SUPER STAR,0.743,0.718,7,-4.529,1,0.049,0.0294,2.01E-06,0.045,0.364,129.959,225944,4,38.5,2,0.470588235,0.374193548,YG,Male
G-Dragon,"Untitled, 2014",0.583,0.461,4,-5.153,1,0.0321,0.785,1.70E-05,0.13,0.263,79.826,222868,4,27.85714286,7,0.068965517,0.05952381,YG,Male
G-Dragon,Amanda (Feat. Simon Dominic) (Prod. By UNTITLEDS),0.583,0.461,4,-5.153,1,0.0321,0.785,1.70E-05,0.13,0.263,79.826,222868,4,50,2,0.088235294,0.082677165,YG,Male
G-Dragon,Divina Commedia,0.691,0.6,8,-4.336,0,0.137,0.654,0,0.63,0.237,131.804,224400,4,50,1,0.214285714,0.056603774,YG,Male
G-Dragon,One Of A Kind,0.632,0.801,7,-6.105,1,0.304,0.135,0,0.0876,0.749,171.977,205876,4,35.5,2,0.346153846,0.302325581,YG,Male
