Artist,Artist_Id,Track_Title,Track_Id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,avg_rank,weeks_on_chart,English_percent
INFINITE,1bkpTEmumLC3xc7HgMsttU,One Day,7zz5JpCcL0pLwF6rGnzBMU,0.673,0.838,4,-3.105,1,0.0645,0.139,0,0.251,0.377,95.047,222707,4,49,1,3.33
INFINITE,1bkpTEmumLC3xc7HgMsttU,True Love,2a6MwlCbEz9cQqSDmqBhTr,0.686,0.888,0,-2.533,1,0.0694,0.331,0,0.0704,0.666,94.995,209880,4,57,1,15.48
INFINITE,1bkpTEmumLC3xc7HgMsttU,Monologue,4UIeWxW56wDKMR7fG1PKMm,0.522,0.727,9,-2.818,1,0.03,0.0983,0,0.193,0.298,89.979,251973,4,56,1,0
INFINITE,1bkpTEmumLC3xc7HgMsttU,That Summer (Second Story),6NQMnIkdIdcjEhQG7o2rDU,0.589,0.686,8,-5.494,1,0.0338,0.0343,0,0.0804,0.564,91.977,218253,4,67,1,5.43
INFINITE,1bkpTEmumLC3xc7HgMsttU,Betting,5Q436g3h9MJJi01xrOlf20,0.584,0.885,7,-6.953,0,0.0442,0.334,0.827,0.111,0.288,100.051,78861,4,57,1,0
INFINITE,1bkpTEmumLC3xc7HgMsttU,Bad,2N8gVC6b45879mbNo9IMZr,0.689,0.858,0,-3.051,1,0.116,0.24,0,0.134,0.458,99.994,216244,4,37.83333333,6,60.49
INFINITE,1bkpTEmumLC3xc7HgMsttU,Moonlight,6ETrwE2RTjQwqpGyCiESLA,0.577,0.902,10,-1.708,1,0.103,0.046,0,0.33,0.54,120.154,202301,4,57.5,2,5.26
INFINITE,1bkpTEmumLC3xc7HgMsttU,Walk to remember,31pvr0cX6PVMscoAYtkwTo,0.605,0.746,9,-5.526,1,0.0748,0.164,0,0.135,0.75,83.827,202593,4,38,1,6.71
INFINITE,1bkpTEmumLC3xc7HgMsttU,Between me&you,5OsqV6w5XPFLX1KcwctOxo,0.341,0.734,2,-4.428,1,0.0548,0.226,0,0.102,0.149,187.378,255332,4,57.5,2,7.49
INFINITE,1bkpTEmumLC3xc7HgMsttU,Love Letter,4TvuH3UV7Bj5P2fXTfsunr,0.592,0.803,8,-3.821,1,0.0584,0.211,0,0.27,0.47,70.012,209230,4,67.5,2,18.06
INFINITE,1bkpTEmumLC3xc7HgMsttU,Up to you,5WJ89BmZP3WKAx0213JsxU,0.696,0.924,8,-2.74,1,0.128,0.0555,0,0.11,0.882,111.007,192661,4,46,1,7.28
INFINITE,1bkpTEmumLC3xc7HgMsttU,Lately,7u88u9dS9EGxJeYVMkIhNO,0.582,0.954,8,-2.77,0,0.055,0.0194,1.36E-06,0.203,0.565,119.966,247510,4,28.33333333,3,7.2
INFINITE,1bkpTEmumLC3xc7HgMsttU,Can U Smile (Broadcasting Ver.),1QGlhl4Zau16wbZCuCN0zO,0.645,0.797,1,-3.105,1,0.0948,0.186,0,0.181,0.875,82.451,190004,4,54,3,10.96
INFINITE,1bkpTEmumLC3xc7HgMsttU,Nothing's over,7DcZMBsTENtzXW0hVq2fpm,0.674,0.92,11,-3.277,1,0.102,0.0328,0,0.0568,0.725,127.916,199600,4,46.5,8,13.02
INFINITE,1bkpTEmumLC3xc7HgMsttU,BTD (Before The Dawn),3ciNirB14sJzwMnSAJdNuZ,0.399,0.964,10,-2.412,0,0.137,0.0223,0,0.154,0.757,204.107,184453,4,68.44444444,9,40.53
INFINITE,1bkpTEmumLC3xc7HgMsttU,Voice Of My Heart,7059cCSIUeTY1ItcByrKmJ,0.464,0.655,8,-5.225,0,0.0371,0.069,0,0.144,0.333,147.219,271613,4,96,2,0
INFINITE,1bkpTEmumLC3xc7HgMsttU,She's Back,26OpABMByMlVYc9J5bBK39,0.747,0.966,1,-3.318,1,0.0972,0.0435,0,0.329,0.82,128.018,194880,4,80.33333333,3,30.09
INFINITE,1bkpTEmumLC3xc7HgMsttU,Come Back Again,5m6yaiNQ3VxeVmITSTBGvQ,0.782,0.962,6,-3.559,1,0.0791,0.06,0,0.339,0.824,119.997,186760,4,80.16666667,6,1.05
f(x),3wRA5UYoo08BBKJnzyKkpF,All Mine,7vg6BjvS17IsNmDEs9WhGz,0.585,0.85,11,-3.625,1,0.068,0.176,0,0.457,0.648,127.974,203857,4,45.83333333,6,20.41
f(x),3wRA5UYoo08BBKJnzyKkpF,Beautiful Stranger (by f(Amber+Luna+Krystal)),7D9K1zpfSiNUV7FJ4erWyl,0.589,0.8,0,-4.838,1,0.235,0.0402,0,0.087,0.593,174.001,248040,4,87,1,30.61
f(x),3wRA5UYoo08BBKJnzyKkpF,NU ABO,1NcsCToPRUh9AI6ua83jAm,0.703,0.773,10,-3.529,0,0.0629,0.0186,0,0.279,0.392,95.007,224333,4,35.375,16,27.42
f(x),3wRA5UYoo08BBKJnzyKkpF,Mr. Boogie,2LPHYUPHeYeh4R5Edu7vqI,0.783,0.939,5,-2.243,0,0.0413,0.0975,0,0.233,0.968,124.957,180480,4,80.5,2,15.09
f(x),3wRA5UYoo08BBKJnzyKkpF,Surprise Party,3xsP6lN4gjuSRLMgNkL3IO,0.576,0.821,5,-3.409,1,0.0738,0.146,0,0.16,0.842,92.199,163267,4,84,1,23
f(x),3wRA5UYoo08BBKJnzyKkpF,Sorry (Dear. Daddy),5wbR6MUIiQNSJQQYmT9bnG,0.504,0.644,7,-3,1,0.037,0.27,0,0.0814,0.509,174.024,221493,3,77,1,15.64
2NE1,1l0mKo96Jh9HVYONcRl3Yp,Goodbye,4e2GUvAz5aWwqdZGKNoYRw,0.644,0.488,1,-4.042,1,0.0331,0.329,0,0.163,0.489,151.544,231445,4,49,4,10.93
2NE1,1l0mKo96Jh9HVYONcRl3Yp,Missing You,4qF2G0wTxKPvCOUzYzKrWq,0.625,0.45,0,-5.214,1,0.0339,0.821,0,0.111,0.263,130.109,219302,4,35,1,6.15
